bug_id,area_workflow,severity,state,deployment_phase,owner,evidence_link,next_action
BUG-WF81-DISPENSE-FLOW-MISSING,ePrescription / Workflow,S1,fixed,pre,,remediation/evidence/d22-s1-wf81-dispense-flow-closure-2026-05-28.md,"Closed 2026-05-28: ERX005 notifications now drive downstream state transitions end-to-end (token match by prescription_id/dsp_id/token_value/npds_reference, idempotent erx_tokens dispensed write, prescription status transition to dispensed, audit row, and clinical signal emission). Route /prescriptions/erx/poll-dispense now reports matched/updated/unmatched/alreadyDispensed/errors counters. Regression proof: bugWf81DispenseFlow.int.test.ts (3/3)."
BUG-WF81-PBS-AUTHORITY-MISSING,ePrescription / Compliance,S1,fixed,pre,,remediation/evidence/d29-wf81-hpii-pbs-aslr-closure-2026-05-28.md,"2026-05-28: Authority requirements are enforced at create and submit boundaries (pbsItemCode + authorityCode), including canonical payload derivation and assertPbsAuthorityConsistency fail-closed checks; shared/unit/integration regression packs passed."
BUG-WF81-ASLR-READONLY,ePrescription / Interop,S1,fixed,pre,,remediation/evidence/d29-wf81-hpii-pbs-aslr-closure-2026-05-28.md,"2026-05-28: MySL MedicationRequest write-back path is active from submit and cancel flows (active/cancelled state sync) with audited outcomes; regression coverage passed in myslMedicationSync.test.ts and bugP5IhiStatusPrescribeGate.int.test.ts."
BUG-ARCH-FORCE-RLS-BASELINE,Architecture / DB Security,S1,fixed,pre,,remediation/evidence/d38-s1-force-rls-assignment-safetycase-closures-2026-05-28.md,"2026-05-28: Closed by FORCE-RLS backfill for post-baseline table clinic_sequences (20260701000090...) and green integration proof (forceRlsBaseline.int.test.ts, bug417AiDraftSignAttestation.int.test.ts, appointmentSlotUniqueness.int.test.ts). DBA NOBYPASSRLS posture remains an operational deployment control in runbooks."
BUG-ARCH-NOTIFICATION-EVENT-CONVERGENCE,Architecture / Eventing,S1,fixed,pre,,remediation/evidence/d26-s1-bug-arch-notification-event-convergence-2026-05-28.md,"2026-05-28: Closed with enforceable convergence contract. Added .github/notification-event-convergence-contract.json + guard:notification-event-convergence-contract to pin required centralized clinical-signal emission on critical transition surfaces; paired with guard:centralized-notification-emitter to block bypass and drift."
BUG-ARCH-SEQUENCE-RACE-CONTROL,Architecture / Concurrency,S1,fixed,pre,,remediation/evidence/d28-s1-scribe-sequence-crosslang-closure-2026-05-28.md,"2026-05-28: clinic-scoped atomic sequence reservation + deterministic patient/episode/referral/invoice generators shipped, with integration proof in bugArchSequenceRaceControl.int.test.ts."
BUG-ARCH-LOCK-VERSION-COVERAGE,Architecture / Concurrency,S1,fixed,pre,,remediation/evidence/d27-s1-bug-arch-lock-version-coverage-2026-05-28.md,"2026-05-28: Closed by extending lock-version coverage to remaining staff_sessions multi-writer surface (migration 20260701000087) and converging auth session revoke/create paths to lock-version-aware mutations with backward-compatible column detection. Added guard:lock-version-coverage-contract + .github/lock-version-coverage-contract.json."
BUG-ARCH-SILENT-MOCK-SUCCESS,Architecture / Integrations,S1,fixed,pre,,remediation/evidence/d23-s1-bug-arch-silent-mock-success-2026-05-28.md,"Closed 2026-05-28: removed non-production fake-success behavior from unconfigured ACS/FCM paths. acsClient now returns explicit failure (ACS_NOT_CONFIGURED) instead of mock success, fcmClient now returns successCount=0/failureCount=tokens.length with FCM_NOT_CONFIGURED, and fcmService emits warning-level failure telemetry. Regression proof: integrationMockFailVisible.test.ts + productionIntegrationConfig.int.test.ts."
BUG-ARCH-ALLOWLIST-TIMEBOMB-2026-12-31,Architecture / Guard Debt,S1,fixed,pre,,remediation/evidence/d25-s1-bug-arch-allowlist-timebomb-closure-2026-05-28.md,"2026-05-28: Closed with executable burn-down governance. Added .github/allowlist-burndown-contract.json (date-bound lane budgets through 2026-12-31) and guard:allowlist-burndown-contract to fail-loud on checkpoint drift/increases; wired guard into guard:claude-discipline."
BUG-D10-GUARD-TRACKED-IGNORED,Repo Hygiene / Guards (d10 s5),S1,fixed,pre,,scripts/guards/check-tracked-ignored-files.ts + ci.yml repo-hygiene-guards job,"2026-05-27: CI guard scripts/guards/check-tracked-ignored-files.ts implemented + wired as npm run guard:tracked-ignored-files + new repo-hygiene-guards CI job. First run surfaced 12 pre-existing tracked-ignored offenders (test-results, gradle build artifacts, local.properties); all 12 git rm --cached'd in same atomic commit so guard ships green. Closes BUG-D10-GUARD-TRACKED-IGNORED."
BUG-D10-GUARD-ZERO-BYTE,Repo Hygiene / Guards (d10 s5),S1,fixed,pre,,scripts/guards/check-zero-byte-tracked-files.ts + ci.yml repo-hygiene-guards job,"2026-05-27: CI guard scripts/guards/check-zero-byte-tracked-files.ts implemented + wired as npm run guard:zero-byte-tracked-files + appended to existing repo-hygiene-guards CI job. Atomic cleanup of 5 pre-existing zero-byte offenders (.env.example filled with minimal workspace-root template; apps/api/db.sqlite deleted; apps/web/src/features/flags/hooks/usePatientFlags.ts deleted as orphan duplicate; apps/web/src/features/lai/components/AimsAssessmentPanel.tsx deleted as 0-byte scaffold with zero importers; apps/web/vim/nano deleted as accidental typo file). .gitignore extended to prevent regression. Closes BUG-D10-GUARD-ZERO-BYTE."
BUG-D10-GUARD-ENV-TEMPLATE,Repo Hygiene / Guards (d10 s5),S1,fixed,pre,,scripts/guards/check-env-template-contract.ts + ci.yml repo-hygiene-guards job,"2026-05-28: Implemented guard:env-template-contract to enforce canonical env-template presence, non-zero-byte state, and required key coverage; wired into npm scripts and repo-hygiene CI lane. Closes BUG-D10-GUARD-ENV-TEMPLATE."
BUG-D10-GUARD-XPROJECT-BOUNDARY,Repo Hygiene / Guards (d10 s5),S1,fixed,pre,,scripts/guards/check-cross-project-boundary.ts + ci.yml repo-hygiene-guards job,"2026-05-28: Implemented guard:cross-project-boundary to block raw cross-root imports between app/package domains except published contracts (@signacare/*); wired into npm scripts and repo-hygiene CI lane. Closes BUG-D10-GUARD-XPROJECT-BOUNDARY."
BUG-SA-101,API Contracts,S2,fixed,pre,,remediation/evidence/d42-sa101-sa102-sa103-structural-closure-2026-05-28.md,"2026-05-28: Closed with shared API envelope SSoT (apiEnvelope.schemas.ts), executable convergence guard (guard:api-envelope-contract), and date-bound contract (.github/api-envelope-contract.json) wired into guard:claude-discipline."
BUG-SA-102,Guard Coverage,S2,fixed,pre,,remediation/evidence/d42-sa101-sa102-sa103-structural-closure-2026-05-28.md,"2026-05-28: Closed with row-interface coverage ratchet guard (guard:row-iface-coverage-contract) and checkpoint contract that fails-loud on unbound-skip drift and coverage regressions."
BUG-SA-103,Guard Debt,S2,fixed,pre,,remediation/evidence/d42-sa101-sa102-sa103-structural-closure-2026-05-28.md,"2026-05-28: Closed by enforcing allowlist burn-down checkpoints via .github/allowlist-burndown-contract.json + executable guard, with SA-specific fix-registry anchors and discipline-lane enforcement."
BUG-SA-104,Eventing Architecture,S2,fixed,pre,,remediation/evidence/d43-structural-stale-drain-2026-05-28.md,"2026-05-28: Closed with enforceable centralized event fan-out controls (guard:centralized-notification-emitter + guard:notification-event-convergence-contract and canonical target contract)."
BUG-SA-105,File Architecture,S2,fixed,pre,,remediation/evidence/d46-sa105-file-architecture-threshold-closure-2026-05-28.md,"2026-05-28: Closed active threshold risk with guard:file-size green; follow-up decomposition slices SA-112/SA-113/SA-114 are now closed in D48."
BUG-SA-106,Dashboard Contexting,S2,fixed,pre,,remediation/evidence/d43-structural-stale-drain-2026-05-28.md,"2026-05-28: Closed with clinic-scoped dashboard key SSoT and new guard guard:dashboard-query-key-clinic-scope wired into discipline CI to block flat legacy key regressions."
BUG-SA-107,Query Performance,S2,fixed,pre,,remediation/evidence/d24-s1-bug-sa-010-critical-path-performance-baseline-2026-05-28.md,"2026-05-28: Closed with enforced critical-path p95 integration baseline covering planned transitions/allocation reads; N+1 or aggregation regressions fail-loud in CI."
BUG-SA-108,Guard Documentation,S3,fixed,pre,,remediation/evidence/d43-structural-stale-drain-2026-05-28.md,"2026-05-28: Closed by aligning guard documentation with implementation scope on route/controller scanners and confirming registrar-aware route-contract docs; discipline chain re-verified green."
BUG-SA-109,Clinical Intelligence,S2,deferred,post,,remediation/evidence/d49-s2-post-deploy-prework-scaffolding-2026-05-28.md,"2026-05-28 pre-work complete: summary calibrationContext + diagnosis/program bucket telemetry are now captured. Trigger remains unchanged: after 2 weeks of production telemetry, calibrate 91-day/LAI/legal-review thresholds by bucket."
BUG-SA-110,Clinical Intelligence,S2,deferred,post,,remediation/evidence/d49-s2-post-deploy-prework-scaffolding-2026-05-28.md,"2026-05-28 pre-work complete: summary-state and per-source failure counters are wired. Trigger remains unchanged: if degraded/partial rate >1% for 48h, implement SLO dashboards and alerting policy."
BUG-SA-111,Patient Detail Architecture,S2,deferred,post,,remediation/evidence/d49-s2-post-deploy-prework-scaffolding-2026-05-28.md,"2026-05-28 pre-work complete: shared read-model target schema scaffold is in place. Trigger remains unchanged: post go-live performance wave to converge remaining patient-detail side queries into server read-model contracts."
BUG-051,Error Contracts,S1,deferred,post,,,"Promoted from legacy archive on 2026-05-29. Unify AppError envelope and remove mixed error-shape drift; close with contract guard + endpoint migration evidence before GA hardening exit."
BUG-240,Mobile Patient App,S1,deferred,post,,,"Promoted from legacy archive on 2026-05-29. Replace patient-app register stub (register_screen.dart) with real onboarding flow, API contract binding, and integration regression coverage."
BUG-SA-112,File Architecture,S2,fixed,pre,,remediation/evidence/d48-sa112-sa113-sa114-file-architecture-splits-2026-05-28.md,"2026-05-28: Closed by splitting patientRoutes.ts into bounded routing surfaces (patientRoutes.ts + patientAncillaryRoutes.ts) with type/lint/file-size guard proof."
BUG-SA-113,File Architecture,S2,fixed,pre,,remediation/evidence/d48-sa112-sa113-sa114-file-architecture-splits-2026-05-28.md,"2026-05-28: Closed by splitting correspondence into shell + bounded sections (CorrespondenceTab.tsx, CorrespondenceSections.tsx, CorrespondenceLettersPanel.tsx) under block threshold."
BUG-SA-114,File Architecture,S2,fixed,pre,,remediation/evidence/d48-sa112-sa113-sa114-file-architecture-splits-2026-05-28.md,"2026-05-28: Closed by splitting episodes surface into shell + bounded modules (EpisodesTab.tsx, EpisodesSections.tsx, EpisodesAuxPanels.tsx) with architectural guard pass."
BUG-SA-115,File Architecture,S2,fixed,pre,,remediation/evidence/d44-sa115-lifechart-schema-domain-split-2026-05-28.md,"2026-05-28: Closed by splitting lifeChartSchemaDomain.ts into bounded modules (core, normalization, heuristics) with stable façade exports and focused type+vitest regression proof."
BUG-SCRIBE25-101,AI / Quality,S2,deferred,post,,remediation/evidence/d49-s2-post-deploy-prework-scaffolding-2026-05-28.md,"2026-05-28 pre-work complete: readability telemetry contract + baseline classifier are live. Trigger remains unchanged: after PART 10 baseline is live, expand scoring beyond English and enforce per-language thresholds."
BUG-SCRIBE25-102,AI / Privacy,S2,deferred,post,,remediation/evidence/d49-s2-post-deploy-prework-scaffolding-2026-05-28.md,"2026-05-28 pre-work complete: edit-tracking privacy contract schema + feature-flag constant are defined. Trigger remains unchanged: when edit-tracking scope is enabled in production, enforce retention-by-consent/minimisation/re-identification controls."
BUG-SCRIBE25-103,AI / Speech,S2,deferred,post,,remediation/evidence/d49-s2-post-deploy-prework-scaffolding-2026-05-28.md,"2026-05-28 pre-work complete: multi-speaker GA flag + speaker-attribution contract + ambient pre-GA gate are wired. Trigger remains unchanged: must close full diarisation and speaker-bound extraction controls before MDT/family multi-speaker GA."
BUG-SCRIBE25-104,AI / Human Factors,S2,deferred,post,,remediation/evidence/d49-s2-post-deploy-prework-scaffolding-2026-05-28.md,"2026-05-28 pre-work complete: clinician alert-feedback endpoint + calibration telemetry counters are wired. Trigger remains unchanged: after a 2-week production baseline, deploy alert-fatigue precision/recall tuning policy."
BUG-FIX-REGISTRY-ORPHAN-DRAIN,Guard Hygiene,S2,fixed,pre,,remediation/evidence/d43-structural-stale-drain-2026-05-28.md,"2026-05-28: Closed by draining stale-orphan condition; BACKUP4/BLOB9 anchors resolve to live files and check-fix-registry passes green."
BUG-FONT-CJK-COVERAGE,Typography / i18n,S2,fixed,post,,remediation/evidence/d45-font-coverage-closure-pack-2026-05-28.md,"2026-05-28: Closed with script-complete FONT_STACKS coverage and loader sync proof (guard:font-coverage = 15/15 required scripts)."
BUG-FONT-ARABIC-RTL-COVERAGE,Typography / i18n,S2,fixed,post,,remediation/evidence/d45-font-coverage-closure-pack-2026-05-28.md,"2026-05-28: Closed for font coverage (Arabic/Persian/Urdu) with SSoT + loader contract proof; any future RTL layout-direction audit is a separate UI behavior track."
BUG-FONT-INDIC-COVERAGE,Typography / i18n,S2,fixed,post,,remediation/evidence/d45-font-coverage-closure-pack-2026-05-28.md,"2026-05-28: Closed with Devanagari/Tamil/Gurmukhi/Bengali/Sinhala coverage proven by guard:font-coverage (15/15 scripts)."
BUG-FONT-PRINT-NON-LATIN,Typography / Print,S2,fixed,post,,remediation/evidence/d45-font-coverage-closure-pack-2026-05-28.md,"2026-05-28: Closed by extending FONT_STACKS.narrativeSerif with Gurmukhi/Sinhala/Thai and re-validating full print-chain script coverage."
BUG-GUARD-FONT-COVERAGE,Guard / Typography,S3,fixed,post,,scripts/guards/check-font-coverage.ts,"2026-05-26: CI guard scripts/guards/check-font-coverage.ts implemented + wired as npm run guard:font-coverage. Asserts (a) every REQUIRED_SCRIPTS entry has at least one covering font in FONT_STACKS.body, (b) loader URL includes every non-system font in FONT_STACKS (no drift). Current run: 15/15 scripts covered. Closes BUG-GUARD-FONT-COVERAGE."
BUG-FONT-BUNDLING-OFFLINE,Infra / Typography,S3,fixed,post,,remediation/evidence/d47-font-bundling-offline-closure-2026-05-28.md,"2026-05-28: Closed by bundling local CJK assets, adding local @font-face entries, removing Google Fonts runtime links, and validating script coverage (15/15) with guard:font-coverage."
BUG-FONT-BUNDLING-CJK-SUBSET-TOOLING,Infra / Typography,S3,fixed,post,,remediation/evidence/d41-font-cjk-subset-tooling-closure-2026-05-28.md,"2026-05-28: Closed by adding scripts/fonts/generate-cjk-subset.ts pipeline + npm run fonts:subset-cjk + documented --include-cjk runbook path in installer/regen-font-bundle.md."
BUG-FONT-PRIMARY-FACE-DECISION,Typography / Brand,S3,fixed,post,,palettes.ts FONT_STACKS + apps/web/public/fonts.css,"2026-05-26: resolution = full swap to Inter primary (operator decision). FONT_STACKS.body in apps/web/src/shared/theme/palettes.ts updated - Albert Sans removed; Inter primary. ThemeProvider.tsx sources from FONT_STACKS.body so swap propagates to every variant including new data variant for tabular figures. index.html CDN URL updated (Albert Sans removed). Local bundle apps/web/public/fonts.css includes Inter weights 300/400/500/600/700/800. Font-coverage guard PASS 15/15 scripts. Closes BUG-FONT-PRIMARY-FACE-DECISION."
BUG-CROSS-LANG-DESIGN-TOKEN-CODEGEN,Architecture / Design System,S3,fixed,post,,remediation/evidence/d28-s1-scribe-sequence-crosslang-closure-2026-05-28.md,"2026-05-28: TS->Dart design-token codegen pipeline implemented (scripts/design-tokens/generate-dart-design-tokens.ts), generated artifacts consumed by both mobile apps, and guard:cross-lang-design-token-codegen + generator tests added."
